apply_day,apply_month,career,city,course_category,course_description,course_name,course_structure,course_webiste,currency,degree_level,domestic_fee,domestic_only,duration,duration_term,fee_term,fee_year,ielts_listening,ielts_overall,ielts_reading,ielts_speaking,ielts_writing,intake_day,intake_month,international_fee,other_requirements,pte_listening,pte_overall,pte_reading,pte_speaking,pte_writing,study_load,study_mode,toefl_listening,toefl_overall,toefl_reading,toefl_speaking,toefl_writing
"1,8","december,december","<div class=""text"">
            




    
    
        <p>A BCom with a double major is a three-year degree programme. You will be required to complete a minimum of 24 courses (360 points). In your first year, you will complete a set of core Stage 1 courses and further courses depending on the major(s) you are planning to take.</p>

<p>A double major requires careful planning.  </p>

<p>You will also be required to select two General Education papers – this is a distinctive feature of our University’s degree designed to broaden your education. </p>

<ul>
<li>If you wish to major in Accounting you will need to enrol in ACCTG 102 in your first year.</li>
<li>If you wish to major in Economics you will need to enrol in ECON 152 in your first year.</li>
<li>If you wish to major in Finance you will need to enrol in ACCTG 102 and MATHS 108 (or 150 or 153) in your first year.</li>
</ul>

<p><b>Students starting in 2021</b></p>

<p>Students enrolling in the BCom for the first time from 2021 will complete a cross-disciplinary capstone course. The capstone gives you an opportunity to apply your skills/knowledge in a practical context, which you can share with future employers.</p>

<p><i>*Maximum of two courses from outside the BCom schedule.</i></p>



    
    


        </div>",City UoA CLC  NanJing,Business School,With New Zealand’s leading Bachelor of Commerce programme you will learn from the country’s best teachers and mentors to get a taste of every aspect of the business world before deciding on a major or double major that’s right for you. ,Bachelor of Commerce ,"<div class=""text"">
            




    
    
        <p>A BCom with a double major is a three-year degree programme. You will be required to complete a minimum of 24 courses (360 points). In your first year, you will complete a set of core Stage 1 courses and further courses depending on the major(s) you are planning to take.</p>

<p>A double major requires careful planning.  </p>

<p>You will also be required to select two General Education papers – this is a distinctive feature of our University’s degree designed to broaden your education. </p>

<ul>
<li>If you wish to major in Accounting you will need to enrol in ACCTG 102 in your first year.</li>
<li>If you wish to major in Economics you will need to enrol in ECON 152 in your first year.</li>
<li>If you wish to major in Finance you will need to enrol in ACCTG 102 and MATHS 108 (or 150 or 153) in your first year.</li>
</ul>

<p><b>Students starting in 2021</b></p>

<p>Students enrolling in the BCom for the first time from 2021 will complete a cross-disciplinary capstone course. The capstone gives you an opportunity to apply your skills/knowledge in a practical context, which you can share with future employers.</p>

<p><i>*Maximum of two courses from outside the BCom schedule.</i></p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-commerce-bcom.html,NZD,Undergraduate,"6,242.40",False,3,years,year,2020,5.5,6.0,5.5,5.5,5.5,"4,1","january,march","37,141",,42,50,42,42,42,Both,,21,80,21,21,21
1,february,"<div class=""text"">
            




    
    
        <p>You will complete one course during each 10-week quarter over two years.</p>

<p>The programme is delivered using a combination of regional wānanga and online learning. </p>


<p>You must complete a minimum of 120 points of courses from the specialisation in <a href=""http://www.mba.auckland.ac.nz/our-postgraduate-diploma/pg-dip-maori-development"">Māori Development</a>.</p>



    
    


        </div>",City Tai Tokerau,Business School,The Postgraduate Diploma in Business is offered as a specialisation in Māori Development.,Postgraduate Diploma in Business ,"<div class=""text"">
            




    
    
        <p>You will complete one course during each 10-week quarter over two years.</p>

<p>The programme is delivered using a combination of regional wānanga and online learning. </p>


<p>You must complete a minimum of 120 points of courses from the specialisation in <a href=""http://www.mba.auckland.ac.nz/our-postgraduate-diploma/pg-dip-maori-development"">Māori Development</a>.</p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-diploma-in-business-pgdipbus.html,NZD,Postgraduate,"9,460.80",True,,Varies,year,2020,6.0,6.5,6.0,6.0,6.0,"29,4","march,april",,"<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4> </h4>
    </div>
</div>



<div class=""text"">
    <p>No further programme requirements</p>



</div></div>",50,58,50,50,50,Part Time,,21,90,21,21,21
"8,4","december,july","<div class=""text"">
            




    
    
        <p>Students can study full-time or part-time to allow flexibility for those with other professional or personal commitments.</p>

<p>The 120-point taught masters can be completed within two consecutive semesters (one year full-time) or up to eight consecutive semesters (four years part-time).</p>

<p>The 120-point research masters can be completed within two consecutive semesters (one year full-time) or up to four consecutive semesters (two years part-time).</p>

<p><b>MTaxS by coursework (taught):</b></p>

<p>120 points of taught courses</p>

<p><b style="""">OR</b></p>

<p>90 points of taught courses and a 30-point dissertation</p>

<p><b style="""">OR</b></p>

<p>105 points of taught courses and 15-point supervised research paper</p>

<p>All three options are to be completed in one year full-time or up to four years part-time.</p>

<p><b>MTaxS by research (90-point thesis):</b></p>

<p>Up to 30 points of taught courses, dissertation or supervised research paper and a 90-point thesis (30,000 words)</p>

<ul>
<li>To be completed in one year full-time or up to two years part-time.</li>
</ul>



    
    


        </div>",City,Auckland Law School,The Master of Taxation Studies (MTaxS) is designed for both law and commerce graduates who intend to make tax advocacy or tax consulting their career and who wish to extend their understanding of the theoretical issues and legal structures that underpin the taxation system.,Master of Taxation Studies ,"<div class=""text"">
            




    
    
        <p>Students can study full-time or part-time to allow flexibility for those with other professional or personal commitments.</p>

<p>The 120-point taught masters can be completed within two consecutive semesters (one year full-time) or up to eight consecutive semesters (four years part-time).</p>

<p>The 120-point research masters can be completed within two consecutive semesters (one year full-time) or up to four consecutive semesters (two years part-time).</p>

<p><b>MTaxS by coursework (taught):</b></p>

<p>120 points of taught courses</p>

<p><b style="""">OR</b></p>

<p>90 points of taught courses and a 30-point dissertation</p>

<p><b style="""">OR</b></p>

<p>105 points of taught courses and 15-point supervised research paper</p>

<p>All three options are to be completed in one year full-time or up to four years part-time.</p>

<p><b>MTaxS by research (90-point thesis):</b></p>

<p>Up to 30 points of taught courses, dissertation or supervised research paper and a 90-point thesis (30,000 words)</p>

<ul>
<li>To be completed in one year full-time or up to two years part-time.</li>
</ul>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-taxation-studies-mtaxs.html,NZD,Postgraduate,"18,615.60",False,,Varies,year,2020,6.0,6.5,6.0,6.0,6.0,"1,1","december,march","46,520","<div>


<div class=""uoa-form"">
    <div class=""uoa-form__elt uoa-form__radio"">
        <div class=""text"">
            <h4>Select your study option:</h4>
        </div>
        <div class=""uoa-form__radios"">
            <label>
                <input class=""js-ereq-radio"" type=""radio"" name=""content-programmetabs-postgraduate-uoaqualification-furtherprogrammerequirements-programmeplanoption"" value=""Taught 120 points"" checked>
                Taught 120 points
            </label>
            <label>
                <input class=""js-ereq-radio"" type=""radio"" name=""content-programmetabs-postgraduate-uoaqualification-furtherprogrammerequirements-programmeplanoption"" value=""Research 120 points"">
                Research 120 points
            </label>
            <label>
                <input class=""js-ereq-radio"" type=""radio"" name=""content-programmetabs-postgraduate-uoaqualification-furtherprogrammerequirements-programmeplanoption"" value=""Taught 180 points"">
                Taught 180 points
            </label>
            <label>
                <input class=""js-ereq-radio"" type=""radio"" name=""content-programmetabs-postgraduate-uoaqualification-furtherprogrammerequirements-programmeplanoption"" value=""Research 180 points"">
                Research 180 points
            </label>
        </div>
    </div>

    
</div>

<div id=""content-programmetabs-postgraduate-uoaqualification-furtherprogrammerequirements-programmeplanoption"">
    <div class=""entry-req__radio-content js-ereq-content"">
        <div class=""text"">
            <ul>
<li>You must have completed the requirements for a Bachelor of Commerce (Honours) (BCom(Hons)), Bachelor of Laws (LLB) or Bachelor of Laws (Honours) (LLB(Hons)) or an equivalent degree. This degree must have been of at least four years duration</li>
</ul>

<p>and<br>
</p>

<ul>
<li>You will need to possess an appropriate background in taxation. For example if you have completed tax courses in your Bachelor of Commerce or have appropriate experience in tax or accounting practice you may be considered for entry.</li>
</ul>

<p>You will need to have achieved a GPA of 4.0 or higher in your last year of equivalent full-time study.</p>



        </div>
    </div>
    <div class=""entry-req__radio-content js-ereq-content"">
        <div class=""text"">
            <ul>
<li>You must have completed the requirements for a Bachelor of Commerce (Honours) (BCom(Hons)), Bachelor of Laws (LLB) or Bachelor of Laws (Honours) (LLB(Hons)) or an equivalent degree. This degree must have been of at least four years duration</li>
</ul>

<p>and<br>
</p>

<ul>
<li>You will need to possess an appropriate background in taxation. For example if you have completed tax courses in your Bachelor of Commerce or have appropriate experience in tax or accounting practice you may be considered for entry.</li>
</ul>

<p>You will need to have achieved a GPA of 4.0 or higher in your last year of equivalent full-time study.</p>



        </div>
    </div>
    <div class=""entry-req__radio-content js-ereq-content"">
        <div class=""text"">
            <ul style=""list-style-position: inside;"">
<li>You must have completed the requirements for a Bachelor of Commerce (BCom), Bachelor of Laws (LLB) or an equivalent degree. This degree must have been of at least three years duration</li>
</ul>

<p>and</p>

<ul style=""list-style-position: inside;"">
<li>You will need to possess an appropriate background in taxation. For example if you have completed tax courses in your Bachelor of Commerce or have appropriate experience in tax or accounting practice you may be considered for entry.</li>
</ul>

<p>You will need to have achieved a GPA of 4.0 or higher in your last year of equivalent full-time study.</p>



        </div>
    </div>
    <div class=""entry-req__radio-content js-ereq-content"">
        <div class=""text"">
            <ul style=""list-style-position: inside;"">
<li>You must have completed the requirements for a Bachelor of Commerce (BCom), Bachelor of Laws (LLB) or an equivalent degree. This degree must have been of at least three years duration</li>
</ul>

<p>and</p>

<ul style=""list-style-position: inside;"">
<li>You will need to possess an appropriate background in taxation. For example if you have completed tax courses in your Bachelor of Commerce or have appropriate experience in tax or accounting practice you may be considered for entry.</li>
</ul>

<p>You will need to have achieved a GPA of 4.0 or higher in your last year of equivalent full-time study.</p>



        </div>
    </div>
</div>

</div>",50,58,50,50,50,Both,,21,90,21,21,21
8,december,"<div class=""text"">
            




    
    
        <p>The full-time programme is completed in one year, and the part-time programme may be completed over a maximum of four years.<br>
Students must complete 120 points from the following courses:</p>

<ul>
<li>90 points: SCIENT 701-706 (the topics include accounting, finance, marketing, law, intellectual property and commercialisation, as they relate to scientists)</li>
</ul>

<ul>
<li>30 points from 700-level courses in Biological Sciences, Bioinformatics, Medical Science, Medicinal Chemistry*, Food Science, Pharmacology* or Psychology*, which may include topics such as Applied Microbiology and Biotechnology; Proteomics; or Molecular Cell Biology and Biomedicine</li>
</ul>

<p><i>*Subject to approval</i></p>



    
    


        </div>",City,Science,"As a PGDipBioEnt student, you’ll gain skills in the financial, marketing and legal aspects of science to prepare you for a wide range of job opportunities in science and business enterprises.",Postgraduate Diploma in Bioscience Enterprise ,"<div class=""text"">
            




    
    
        <p>The full-time programme is completed in one year, and the part-time programme may be completed over a maximum of four years.<br>
Students must complete 120 points from the following courses:</p>

<ul>
<li>90 points: SCIENT 701-706 (the topics include accounting, finance, marketing, law, intellectual property and commercialisation, as they relate to scientists)</li>
</ul>

<ul>
<li>30 points from 700-level courses in Biological Sciences, Bioinformatics, Medical Science, Medicinal Chemistry*, Food Science, Pharmacology* or Psychology*, which may include topics such as Applied Microbiology and Biotechnology; Proteomics; or Molecular Cell Biology and Biomedicine</li>
</ul>

<p><i>*Subject to approval</i></p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-diploma-in-bioscience-enterprise-pgdipbioent.html,NZD,Postgraduate,"9,460.80",False,1,year,year,2020,6.0,6.5,6.0,6.0,6.0,"1,28","march,february","42,814","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Taught 120 points</h4>
    </div>
</div>



<div class=""text"">
    <p>You must have completed one of the following with a GPA of 6.0:</p>

<ul>
<li>BSc or BSc(Hons) with a major or specialisation related to the life sciences, in one of the following areas: Biological Sciences, Bioinformatics, Biomedical Science, Food Science, Medicinal Chemistry, Pharmacology or Physiology</li>
<li>BE or BE(Hons) in Biomedical Engineering</li>
<li>BPharm</li>
<li>BTech in Biotechnology.</li>
</ul>


<p>If you wish to apply for the programme you should email the Programme Director to arrange an initial interview: <a href=""mailto:director@bioscienterprise.ac.nz"">director@bioscienterprise.ac.nz</a>.</p>

<p>All shortlisted candidates will be interviewed as part of the assessment process.  Typically interviews are scheduled in November. Successful applicants are advised in December/January. International applicants may be offered an interview up until February.</p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
"1,8","december,december","<div class=""text"">
            




    
    
        <p>The PGDipSci programme involves one year of full-time study, or up to four years of part-time study, after you have completed the requirements for the Bachelor of Science degree.</p>

<ul>
<li>120 points in your specialist subject listed in the Postgraduate Diploma in Science schedule</li>
<li>A project or dissertation of up to 45 points may be included</li>
</ul>

<p>Please note that Clinical Exercise Physiology students need to apply for a Semester One start for both the PGDipSci and MSc (120 and 240 point) programmes as each course is offered in one semester only, and the mandatory Semester One courses EXERSCI 771 and EXERSCI 773 are prerequisites for the Semester Two courses EXERSCI 772 and EXERSCI 774.</p>



    
    


        </div>",City Grafton Newmarket,Science,Pursue advanced study in your specialist area with the Postgraduate Diploma in Science. Extend your knowledge with coursework or try a project or dissertation as part of your diploma – the option is yours. The PGDipSci offers a pathway toward masters and doctoral study.,Postgraduate Diploma in Science ,"<div class=""text"">
            




    
    
        <p>The PGDipSci programme involves one year of full-time study, or up to four years of part-time study, after you have completed the requirements for the Bachelor of Science degree.</p>

<ul>
<li>120 points in your specialist subject listed in the Postgraduate Diploma in Science schedule</li>
<li>A project or dissertation of up to 45 points may be included</li>
</ul>

<p>Please note that Clinical Exercise Physiology students need to apply for a Semester One start for both the PGDipSci and MSc (120 and 240 point) programmes as each course is offered in one semester only, and the mandatory Semester One courses EXERSCI 771 and EXERSCI 773 are prerequisites for the Semester Two courses EXERSCI 772 and EXERSCI 774.</p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-diploma-in-science-pgdipsci.html,NZD,Postgraduate,"8,164.80",False,1,year,year,2020,6.0,6.5,6.0,6.0,6.0,"15,19","february,july","42,814","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Taught 120 points</h4>
    </div>
</div>



<div class=""text"">
    
<p>You must have completed a Bachelor of Science in your intended specialisation with a GPA of 3.0. Some specialisations may require you to have completed specific courses in your undergraduate degree, you can find these in the <a href=""https://www.calendar.auckland.ac.nz/en/progreg/regulations-science/pgdipsci.html"">PGDipSci Schedule</a>.<br>
</p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
"1,8","december,december","<div class=""text"">
            




    
    
        <p>Take two 30-point core courses in leadership, ethics and systems, and social innovation, evaluation and programme design to complete this 60-point certificate.* The core courses involve applied learning that is highly relevant to current and future practice and leadership.</p>



    
    


        </div>",Epsom,Education and Social Work,"This certificate will advance your skills in social and community leadership and build your ability to lead and innovate across community, government, not-for-profit and social-good sectors.",Postgraduate Certificate in Social and Community Leadership ,"<div class=""text"">
            




    
    
        <p>Take two 30-point core courses in leadership, ethics and systems, and social innovation, evaluation and programme design to complete this 60-point certificate.* The core courses involve applied learning that is highly relevant to current and future practice and leadership.</p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-certificate-in-social-and-community-leadership-pgcertscl.html,NZD,Postgraduate,"4,283.40",False,,Varies,year,2020,6.0,6.5,6.0,6.0,6.0,"1,19","march,july","17,181","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4> </h4>
    </div>
</div>



<div class=""text"">
    <p><b>English language requirements</b></p>

<p>If you are an international applicant whose first language is not English you will need to provide evidence of your English proficiency.</p>


<p>You will require an <b>IELTS Academic</b> score of 6.5 with no bands less than 6.0. <a href=""https://www.auckland.ac.nz/en/study/applications-and-admissions/entry-requirements/postgraduate-entry-requirements/postgraduate-english-language-requirements.html"">See alternative English language requirements</a>.<br>
</p>



</div></div>",50,58,50,50,50,Part Time,,21,90,21,21,21
"8,4","december,july","<div class=""text"">
            




    
    
        <p>This is a 60-point programme consisting of two 30-point courses. You can complete your two courses either full-time in one semester or part-time over two semesters, depending on the availability of the courses for your chosen specialisation. </p>

<p><b>Community Translation</b></p>

<ul style=""list-style-position: inside;"">
<li><a href=""https://artsfaculty.auckland.ac.nz/courses/?Subject=TRANSLAT&amp;Number=713&amp;Year=2019"" target=""_blank"">TRANSLAT 713 Community Interpreting and Contextual Studies</a> (30 points)</li>
<li><a href=""https://artsfaculty.auckland.ac.nz/courses/?Subject=TRANSLAT&amp;Number=719&amp;Year=2019"" target=""_blank"">TRANSLAT 719 Translation Theories and Paradigms</a> (30 points)</li>
</ul>

<p>These two courses are available in Semester One.</p>

<p><b>Multimedia Translation</b></p>

<p>The Multimedia Translation specialisation consists of two courses:</p>

<ul style=""list-style-position: inside;"">
<li><a href=""https://artsfaculty.auckland.ac.nz/courses/?Subject=TRANSLAT&amp;Number=712&amp;Year=2019"" target=""_blank"">TRANSLAT 712 Computer-Aided Translation (CAT) Tools</a> (30 points)</li>
<li><a href=""https://artsfaculty.auckland.ac.nz/courses/?Subject=TRANSLAT&amp;Number=715&amp;Year=2019"" target=""_blank"">TRANSLAT 715 Audiovisual Translation</a> (30 points)</li>
</ul>

<p>We recommend that you start the Multimedia Translation specialisation with TRANSLAT 712 in Semester Two.</p>



    
    


        </div>",City,Arts,Our postgraduate certificate has two specialisations.,Postgraduate Certificate in Translation ,"<div class=""text"">
            




    
    
        <p>This is a 60-point programme consisting of two 30-point courses. You can complete your two courses either full-time in one semester or part-time over two semesters, depending on the availability of the courses for your chosen specialisation. </p>

<p><b>Community Translation</b></p>

<ul style=""list-style-position: inside;"">
<li><a href=""https://artsfaculty.auckland.ac.nz/courses/?Subject=TRANSLAT&amp;Number=713&amp;Year=2019"" target=""_blank"">TRANSLAT 713 Community Interpreting and Contextual Studies</a> (30 points)</li>
<li><a href=""https://artsfaculty.auckland.ac.nz/courses/?Subject=TRANSLAT&amp;Number=719&amp;Year=2019"" target=""_blank"">TRANSLAT 719 Translation Theories and Paradigms</a> (30 points)</li>
</ul>

<p>These two courses are available in Semester One.</p>

<p><b>Multimedia Translation</b></p>

<p>The Multimedia Translation specialisation consists of two courses:</p>

<ul style=""list-style-position: inside;"">
<li><a href=""https://artsfaculty.auckland.ac.nz/courses/?Subject=TRANSLAT&amp;Number=712&amp;Year=2019"" target=""_blank"">TRANSLAT 712 Computer-Aided Translation (CAT) Tools</a> (30 points)</li>
<li><a href=""https://artsfaculty.auckland.ac.nz/courses/?Subject=TRANSLAT&amp;Number=715&amp;Year=2019"" target=""_blank"">TRANSLAT 715 Audiovisual Translation</a> (30 points)</li>
</ul>

<p>We recommend that you start the Multimedia Translation specialisation with TRANSLAT 712 in Semester Two.</p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-certificate-in-translation.html,NZD,Postgraduate,"4,283.40",True,,half year,year,2020,6.0,6.5,6.0,6.0,6.0,"1,19","march,july",,"<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Taught 60 points</h4>
    </div>
</div>



<div class=""text"">
    <p>You must have competence in one of the languages offered for the PGCertTrans (Chinese, French, German, Italian, Japanese, Korean, Spanish) other than English, equivalent to at least the level of a B+ grade in a language course at Stage II or above.</p>

<p>An interview and written aptitude test may be required.<br>
</p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
4,july,"<div class=""text"">
            




    
    
        <p>This is a demanding programme with a high workload. It is only available during Semester Two. You will be expected to attend an average of four hours of lecture and two hours of tutorials each day, with additional work to be addressed during parts of your weekends.</p>

<p>You will need to complete:</p>


<ul>
<li>Two 15 point compulsory courses focusing on a general overview of the geothermal industry and related technologies.</li>
<li>A 15 point research report on some aspect of geothermal exploration, development or exploitation, based on a study using field, lab, or theoretical methods.</li>
<li><a href=""https://www.calendar.auckland.ac.nz/en/progreg/regulations-engineering/pgcertgeothermtech.html"">One 15 point elective from the PGCertGeothermTech schedule</a>. The lectures and examinations for these occur during weeks 8 to 13. Parts of this programme can therefore be completed in six-week blocks.</li>
<li>You must attend two week-long field trips to the Taupo volcanic zone, and complete a technical report after each trip. There will also be several day trips dedicated to visiting geothermal companies and sites of geological or geothermal interest.<br>
</li>
</ul>



    
    


        </div>",City,Engineering,New Zealand is a recognised leader in ensuring best practice in geothermal development. Being in Auckland – a three-hour drive away from most of the country’s high temperature geothermal systems – makes us perfectly suited to offer postgraduate study in this field.,Postgraduate Certificate in Geothermal Energy Technology ,"<div class=""text"">
            




    
    
        <p>This is a demanding programme with a high workload. It is only available during Semester Two. You will be expected to attend an average of four hours of lecture and two hours of tutorials each day, with additional work to be addressed during parts of your weekends.</p>

<p>You will need to complete:</p>


<ul>
<li>Two 15 point compulsory courses focusing on a general overview of the geothermal industry and related technologies.</li>
<li>A 15 point research report on some aspect of geothermal exploration, development or exploitation, based on a study using field, lab, or theoretical methods.</li>
<li><a href=""https://www.calendar.auckland.ac.nz/en/progreg/regulations-engineering/pgcertgeothermtech.html"">One 15 point elective from the PGCertGeothermTech schedule</a>. The lectures and examinations for these occur during weeks 8 to 13. Parts of this programme can therefore be completed in six-week blocks.</li>
<li>You must attend two week-long field trips to the Taupo volcanic zone, and complete a technical report after each trip. There will also be several day trips dedicated to visiting geothermal companies and sites of geological or geothermal interest.<br>
</li>
</ul>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-certificate-in-geothermal-energy-technology-pgcertgeothermtech.html,NZD,Postgraduate,"5,266.80",False,,half year,year,2020,6.0,6.5,6.0,6.0,6.0,"19,18","july,july","26,315","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Taught 60 points</h4>
    </div>
</div>



<div class=""text"">
    <p>You must have completed a BE(Hons) or a BSc(Hons) in an earth or physical science field. You will need a GPA of 4.0.</p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
"8,4","december,july","<div class=""text"">
            




    
    
        <ul>
<li>120-point thesis in the study of theology or religion</li>
<li>One year full-time or up to two years part-time</li>
</ul>



    
    


        </div>",City,Arts,The MTheol consists of a thesis in theology or religious studies.,Master of Theology ,"<div class=""text"">
            




    
    
        <ul>
<li>120-point thesis in the study of theology or religion</li>
<li>One year full-time or up to two years part-time</li>
</ul>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/master-of-theology-mtheol.html,NZD,Postgraduate,"7,696.80",False,1,year,year,2020,6.0,6.5,6.0,6.0,6.0,"1,19","march,july","35,035","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Research 120 points</h4>
    </div>
</div>



<div class=""text"">
    <p>You must have completed one of the following:</p>

<ul>
<li>A Bachelor of Theology (Honours) or Bachelor of Arts (Honours) with a focus on the study of religion with second class honours, first division</li>
<li>A Postgraduate Diploma in Theology with merit.</li>
</ul>

<p>The following subjects may also be considered for entry: Religious Studies. </p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
"8,4","december,july","<div class=""text"">
            




    
    
        <p>The programme aims to develop your artistic practice to its full potential, and to expand your understanding of contemporary art forms in their various cultural contexts. You will develop a year-long project that culminates in a substantial work or exhibition, complemented by a piece of critical writing related to your investigation throughout the year.</p>

<p><b>Research project:</b> 120 points</p>



    
    


        </div>",City,Creative Arts and Industries,"The Postgraduate Diploma in Fine Arts (PGDipFA) gives you the opportunity to integrate studio practice with critical studies. You will work on your own studio-based research projects, developing your practice to its full potential, and expand your understanding of contemporary art forms in their various cultural contexts.",Postgraduate Diploma in Fine Arts ,"<div class=""text"">
            




    
    
        <p>The programme aims to develop your artistic practice to its full potential, and to expand your understanding of contemporary art forms in their various cultural contexts. You will develop a year-long project that culminates in a substantial work or exhibition, complemented by a piece of critical writing related to your investigation throughout the year.</p>

<p><b>Research project:</b> 120 points</p>



    
    


        </div>",https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/postgraduate-diploma-in-fine-arts-pgdipfa.html,NZD,Postgraduate,"8,347.20",False,1,year,year,2020,6.0,6.5,6.0,6.0,6.0,"1,19","march,july","41,167","<div>


<div class=""uoa-form"">
    

    <div class=""text"">
        <h4>Taught 120 points</h4>
    </div>
</div>



<div class=""text"">
    <p>You must have completed a Bachelor of Fine Arts (BFA) within two years of starting the PGDipFA. You will require a GPA of 5.0 in the final year of your bachelors degree.</p>


<p>If your BFA was completed more than two years prior to starting the PGDipFA, you must submit a portfolio and CV via the portfolio system <a href=""https://uoa.slideroom.com/#/login"">SlideRoom</a>. </p>

<p><b>Portfolio content</b></p>

<p>The works presented should demonstrate visual sensibility, creativity, technical skill and give an indication of your current involvement in the arts and an overall impression of your interests. </p>

<p>Your portfolio may include up to 12 items of work, including but not limited to the following media:</p>

<ul>
<li>A reproduction of a painting, print, photograph, sculpture, design, workbook page, and/or a media file of your recent moving image/performance/audio work. </li>
</ul>

<p><b>CV content</b></p>

<p>This should cover your previous art training, experience and practice / employment. Include all exhibitions, art and design-based activities and collaborative projects. </p>

<p><i>An interview and/or references may be required and you will be notified if these are needed.</i></p>



</div></div>",50,58,50,50,50,Both,,21,90,21,21,21
